Genre,Count
Action,5555
Adventure,4372
Avant Garde,1045
Award Winning,258
Boys Love,191
Comedy,7696
Drama,3061
Fantasy,5938
Girls Love,121
Gourmet,220
Horror,578
Mystery,984
Romance,2168
,3428
Slice of Life,1554
Sports,808
Supernatural,1538
Suspense,452
Ecchi,817
Erotica,80
Hentai,1576
Adult Cast,699
Anthropomorphic,1193
CGDCT,259
Childcare,76
Combat Sports,95
Crossdressing,61
Delinquents,76
Detective,313
Educational,321
Gag Humor,276
Gore,268
Harem,480
High Stakes Game,55
Historical,1699
Idols,182
Isekai,438
Iyashikei,184
Love Polygon,112
Love Status Quo,45
Magical Sex Shift,32
Mahou Shoujo,351
Martial Arts,701
Mecha,1307
Medical,54
Military,735
Music,5013
Mythology,643
Organized Crime,106
Otaku Culture,108
Parody,800
Performing Arts,103
Pets,134
Psychological,449
Racing,266
Reincarnation,152
Reverse Harem,78
Samurai,249
School,2214
Showbiz,50
Space,666
Strategy Game,335
Super Power,714
Survival,75
Team Sports,323
Time Travel,152
Urban Fantasy,206
Vampire,176
Video Game,168
Villainess,23
Visual Arts,93
Workplace,227
Josei,158
Kids,6863
Seinen,1084
Shoujo,515
Shounen,2113
